timestamp,open,high,low,close,volume
2024-01-01,0.08955,0.09446,0.07048,0.07823,14209571000.0
2024-01-08,0.07824,0.08794,0.07407,0.08001,17611863000.0
2024-01-15,0.08003,0.09054,0.07479,0.08549,12508413000.0
2024-01-22,0.08549,0.08561,0.07582,0.07881,11292425000.0
2024-01-29,0.07881,0.08309,0.07727,0.07831,7397838000.0
2024-02-05,0.07831,0.08366,0.07723,0.08125,6033280000.0
2024-02-12,0.08125,0.08832,0.0793,0.08522,12252401000.0
2024-02-19,0.08522,0.09164,0.08194,0.08614,12049135000.0
2024-02-26,0.08614,0.15648,0.08417,0.15346,63600970000.0
2024-03-04,0.15347,0.207,0.11363,0.16996,64622503000.0
2024-03-11,0.16998,0.19447,0.13659,0.15429,44332755000.0
2024-03-18,0.15431,0.18024,0.12,0.1765,47959555000.0
2024-03-25,0.17651,0.22942,0.17,0.22013,48181050000.0
2024-04-01,0.22013,0.22017,0.16733,0.19897,40983418000.0
2024-04-08,0.19896,0.20929,0.1255,0.16209,50567749300.0
2024-04-15,0.1621,0.169,0.13866,0.15823,40274989800.0
2024-04-22,0.15823,0.16473,0.14212,0.14668,21057412500.0
2024-04-29,0.14669,0.17013,0.11998,0.16098,36678389500.0
2024-05-06,0.16098,0.16913,0.13886,0.14123,23581882000.0
2024-05-13,0.14123,0.15933,0.13566,0.14905,24798341800.0
2024-05-20,0.14905,0.17489,0.14766,0.16619,29167155500.0
2024-05-27,0.1662,0.17358,0.15423,0.15712,15902465900.0
2024-06-03,0.15713,0.16585,0.13625,0.14679,13461423400.0
2024-06-10,0.14679,0.15064,0.13126,0.1371,13858045700.0
2024-06-17,0.1371,0.13822,0.11283,0.12224,16044430800.0
2024-06-24,0.12223,0.12868,0.1132,0.1245,13735704100.0
2024-07-01,0.12449,0.12753,0.09132,0.10416,21782773300.0
2024-07-08,0.10415,0.11693,0.09866,0.11535,12923434800.0
2024-07-15,0.11535,0.1438,0.11454,0.14027,18196863000.0
2024-07-22,0.14029,0.14282,0.12006,0.13004,19527442400.0
2024-07-29,0.13004,0.13515,0.09894,0.10375,16636497500.0
2024-08-05,0.10376,0.11098,0.08043,0.1006,27407273900.0
2024-08-12,0.1006,0.10905,0.09739,0.10003,12927956900.0
2024-08-19,0.10004,0.11548,0.09859,0.10958,15241858300.0
2024-08-26,0.10958,0.11031,0.09385,0.09508,13154502900.0
2024-09-02,0.09507,0.1008,0.08888,0.09615,13990020500.0
2024-09-09,0.09615,0.10845,0.0957,0.1028,13100305200.0
2024-09-16,0.10281,0.11053,0.09834,0.10633,14170664800.0
2024-09-23,0.10634,0.132,0.10411,0.12435,22821674800.0
2024-09-30,0.12437,0.12462,0.10101,0.11157,21658395900.0
2024-10-07,0.11157,0.11549,0.10308,0.1114,15801145600.0
2024-10-14,0.1114,0.14705,0.1093,0.14218,38906097100.0
2024-10-21,0.14217,0.14978,0.12773,0.14429,32341872400.0
2024-10-28,0.14429,0.1798,0.14112,0.15136,52156476600.0
2024-11-04,0.15137,0.29804,0.14822,0.27778,96279101800.0
2024-11-11,0.27779,0.44,0.27261,0.36714,119830843000.0
2024-11-18,0.36714,0.48043,0.3572,0.43033,67925217400.0
2024-11-25,0.43038,0.44999,0.36475,0.44067,45316871200.0
2024-12-02,0.44073,0.48468,0.388,0.46654,49976447800.0
2024-12-09,0.46656,0.46761,0.3582,0.40666,44858073900.0
2024-12-16,0.40669,0.41516,0.2619,0.31268,54968822200.0
2024-12-23,0.31269,0.34232,0.30285,0.31443,25586765100.0
2024-12-30,0.31442,0.39887,0.30651,0.38234,28441175500.0
2025-01-06,0.38235,0.39845,0.31423,0.3359,34286137800.0
2025-01-13,0.3359,0.43429,0.30932,0.35829,42976767700.0
2025-01-20,0.35832,0.40164,0.33439,0.33596,29740142360.0
2025-01-27,0.33595,0.34181,0.24946,0.268,24774372470.0
2025-02-03,0.26801,0.29296,0.2,0.24887,33861564740.0
2025-02-10,0.24887,0.2868,0.24156,0.26556,20834875000.0
2025-02-17,0.26556,0.26892,0.23436,0.24283,15951548740.0
2025-02-24,0.24283,0.24397,0.18147,0.23931,36497048920.0
2025-03-03,0.23931,0.2406,0.16529,0.16809,30942636130.0
2025-03-10,0.1681,0.181,0.14258,0.16814,32333555880.0
2025-03-17,0.16816,0.17918,0.16274,0.17262,18317499370.0
2025-03-24,0.17262,0.20586,0.16444,0.1665,32866132070.0
2025-03-31,0.1665,0.18024,0.14573,0.14922,34498472990.0
2025-04-07,0.14923,0.16952,0.12985,0.16258,44404827820.0
2025-04-14,0.16258,0.16972,0.15017,0.15525,18554302520.0
2025-04-21,0.15526,0.19295,0.15501,0.17925,30850915430.0
2025-04-28,0.17925,0.18443,0.1666,0.1704,19993219740.0
2025-05-05,0.1704,0.25971,0.16412,0.23176,36092507520.0
2025-05-12,0.23176,0.25342,0.21061,0.233,42989688970.0
2025-05-19,0.23301,0.25436,0.21353,0.22476,35832842610.0
2025-05-26,0.22475,0.23203,0.18536,0.19349,28907600360.0
2025-06-02,0.19349,0.20038,0.16781,0.18408,28183439830.0
2025-06-09,0.18408,0.2066,0.16964,0.17544,35348733350.0
2025-06-16,0.17544,0.1811,0.14258,0.15121,35265435140.0
2025-06-23,0.15121,0.16995,0.14851,0.16937,26433645170.0
2025-06-30,0.16937,0.17534,0.1564,0.17186,25917578630.0
2025-07-07,0.17187,0.21377,0.1656,0.19847,40955602640.0
2025-07-14,0.19846,0.27858,0.18841,0.27392,62392737560.0
2025-07-21,0.27393,0.2879,0.22083,0.2407,57045000290.0
2025-07-28,0.24071,0.24859,0.18853,0.19866,42491310870.0
2025-08-04,0.19866,0.24673,0.19551,0.23384,35616556440.0
2025-08-11,0.23384,0.25589,0.21701,0.23449,47817534910.0
2025-08-18,0.23449,0.24497,0.2076,0.23181,39963154630.0
2025-08-25,0.23181,0.23457,0.20569,0.21361,29818114270.0
2025-09-01,0.2136,0.22922,0.20454,0.22867,24512539910.0
2025-09-08,0.22867,0.30698,0.22643,0.27795,51066880670.0
2025-09-15,0.27796,0.28875,0.2568,0.26064,45543377000.0
2025-09-22,0.26063,0.26222,0.22025,0.23721,41760371370.0
2025-09-29,0.23721,0.26529,0.22614,0.25269,36004819010.0
2025-10-06,0.25269,0.27045,0.08669,0.20706,71423367860.0
2025-10-13,0.20705,0.2182,0.17544,0.19527,57119522570.0
2025-10-20,0.19527,0.20744,0.18437,0.20571,34460098770.0
2025-10-27,0.20572,0.20947,0.17622,0.18625,28639750900.0
2025-11-03,0.18626,0.18655,0.15144,0.17922,40099468140.0
2025-11-10,0.17922,0.18639,0.15354,0.15849,29912052700.0
2025-11-17,0.15849,0.16509,0.13305,0.14494,35919192220.0
2025-11-24,0.14494,0.15673,0.14268,0.14591,21256597510.0
2025-12-01,0.1459,0.15333,0.13161,0.13862,23598927550.0
2025-12-08,0.13862,0.15314,0.13244,0.134,19522872340.0
2025-12-15,0.134,0.13846,0.11981,0.13108,23714942430.0
2025-12-22,0.13108,0.13537,0.12055,0.12387,16508276930.0
2025-12-29,0.12388,0.15419,0.11523,0.14943,30746342940.0
2026-01-05,0.14943,0.15664,0.13564,0.13797,27933750220.0
2026-01-12,0.13797,0.15127,0.1312,0.13155,23376412870.0
2026-01-19,0.13156,0.13156,0.11747,0.1194,23408581310.0
2026-01-26,0.11939,0.12766,0.09433,0.10422,32330976350.0
2026-02-02,0.10421,0.11052,0.07991,0.09657,45693041360.0
2026-02-09,0.09657,0.11754,0.08781,0.10262,30338059920.0
2026-02-16,0.10262,0.10355,0.09444,0.09552,25455741420.0
2026-02-23,0.09553,0.10621,0.08763,0.09185,34884720610.0
2026-03-02,0.09185,0.10429,0.08606,0.08908,35917728770.0
2026-03-09,0.08908,0.10194,0.08893,0.09733,38704517240.0
2026-03-16,0.09733,0.10443,0.08908,0.09009,33898678770.0
2026-03-23,0.0901,0.09791,0.08774,0.09039,30127350050.0
2026-03-30,0.0904,0.09449,0.08892,0.09234,26433437880.0
