bar,timestamp,equity
0,1781769240000,1000.0
50,1781778240000,1000.0
51,1781778420000,1000.0
52,1781778600000,1000.0
53,1781778780000,999.5
54,1781778960000,999.4
55,1781779140000,999.67
56,1781779320000,999.23
57,1781779500000,999.65
58,1781779680000,999.66
59,1781779860000,1000.86
60,1781780040000,999.92
61,1781780220000,999.42
62,1781780400000,1000.33
63,1781780580000,999.63
64,1781780760000,999.87
65,1781780940000,999.11
66,1781781120000,998.99
67,1781781300000,998.92
68,1781781480000,998.64
69,1781781660000,997.67
70,1781781840000,997.18
71,1781782020000,998.33
72,1781782200000,997.85
73,1781782380000,998.04
74,1781782560000,997.34
75,1781782740000,997.26
76,1781782920000,997.5
77,1781783100000,997.3
78,1781783280000,996.99
79,1781783460000,997.32
80,1781783640000,997.3
81,1781783820000,997.5
82,1781784000000,998.03
83,1781784180000,997.71
84,1781784360000,997.5
85,1781784540000,997.82
86,1781784720000,997.78
87,1781784900000,997.76
88,1781785080000,997.26
89,1781785260000,997.47
90,1781785440000,997.82
91,1781785620000,998.0
92,1781785800000,997.89
93,1781785980000,998.25
94,1781786160000,998.03
95,1781786340000,998.11
96,1781786520000,998.42
97,1781786700000,998.95
98,1781786880000,998.93
99,1781787060000,998.91
100,1781787240000,999.34
101,1781787420000,999.34
102,1781787600000,999.13
103,1781787780000,999.4
104,1781787960000,999.64
105,1781788140000,999.89
106,1781788320000,999.54
107,1781788500000,999.7
108,1781788680000,999.44
109,1781788860000,999.22
110,1781789040000,999.25
111,1781789220000,999.21
112,1781789400000,998.3
113,1781789580000,996.51
114,1781789760000,996.51
115,1781789940000,996.51
116,1781790120000,996.51
117,1781790300000,996.51
118,1781790480000,996.01
119,1781790660000,995.93
120,1781790840000,995.24
121,1781791020000,995.22
122,1781791200000,995.25
123,1781791380000,994.24
124,1781791560000,994.35
125,1781791740000,993.77
126,1781791920000,993.67
127,1781792100000,995.0
128,1781792280000,995.14
129,1781792460000,995.97
130,1781792640000,994.94
131,1781792820000,993.94
132,1781793000000,994.53
133,1781793180000,994.6
134,1781793360000,994.58
135,1781793540000,994.08
136,1781793720000,993.26
137,1781793900000,993.7
138,1781794080000,993.38
139,1781794260000,991.25
140,1781794440000,991.57
141,1781794620000,991.07
142,1781794800000,989.79
143,1781794980000,989.31
144,1781795160000,990.45
145,1781795340000,989.99
146,1781795520000,988.99
147,1781795700000,987.04
148,1781795880000,987.98
149,1781796060000,987.62
150,1781796240000,987.79
151,1781796420000,986.62
152,1781796600000,986.37
153,1781796780000,986.16
154,1781796960000,983.97
155,1781797140000,982.41
156,1781797320000,983.02
157,1781797500000,982.72
158,1781797680000,982.71
159,1781797860000,981.03
160,1781798040000,980.39
161,1781798220000,979.77
162,1781798400000,981.61
163,1781798580000,981.77
164,1781798760000,981.74
165,1781798940000,982.54
166,1781799120000,981.85
167,1781799300000,981.86
168,1781799480000,982.36
169,1781799660000,982.71
170,1781799840000,982.53
171,1781800020000,981.54
172,1781800200000,980.94
173,1781800380000,981.81
174,1781800560000,982.21
175,1781800740000,982.16
176,1781800920000,982.52
177,1781801100000,982.45
178,1781801280000,981.82
179,1781801460000,981.33
180,1781801640000,981.81
181,1781801820000,981.76
182,1781802000000,980.89
183,1781802180000,980.9
184,1781802360000,980.9
185,1781802540000,979.34
186,1781802720000,978.85
187,1781802900000,979.08
188,1781803080000,979.58
189,1781803260000,978.45
190,1781803440000,977.59
191,1781803620000,979.44
192,1781803800000,980.61
193,1781803980000,980.01
194,1781804160000,979.39
195,1781804340000,979.67
196,1781804520000,980.01
197,1781804700000,979.53
198,1781804880000,979.04
199,1781805060000,979.1
200,1781805240000,978.01
201,1781805420000,978.57
202,1781805600000,978.69
203,1781805780000,979.09
204,1781805960000,979.35
205,1781806140000,979.24
206,1781806320000,979.37
207,1781806500000,979.64
208,1781806680000,980.77
209,1781806860000,980.85
210,1781807040000,981.13
211,1781807220000,980.47
212,1781807400000,979.98
213,1781807580000,980.13
214,1781807760000,979.57
215,1781807940000,979.16
216,1781808120000,979.89
217,1781808300000,979.69
218,1781808480000,980.25
219,1781808660000,979.78
220,1781808840000,978.7
221,1781809020000,978.21
222,1781809200000,978.08
223,1781809380000,978.0
224,1781809560000,978.0
225,1781809740000,977.73
226,1781809920000,978.0
227,1781810100000,978.21
228,1781810280000,978.42
229,1781810460000,978.7
230,1781810640000,978.91
231,1781810820000,978.28
232,1781811000000,977.79
233,1781811180000,977.92
234,1781811360000,978.31
235,1781811540000,978.6
236,1781811720000,979.12
237,1781811900000,979.23
238,1781812080000,978.87
239,1781812260000,979.19
240,1781812440000,979.07
241,1781812620000,979.03
242,1781812800000,980.39
243,1781812980000,980.76
244,1781813160000,980.3
245,1781813340000,980.33
246,1781813520000,980.68
247,1781813700000,980.4
248,1781813880000,980.99
249,1781814060000,980.38
250,1781814240000,980.35
251,1781814420000,980.31
252,1781814600000,980.45
253,1781814780000,980.36
254,1781814960000,980.22
255,1781815140000,980.41
256,1781815320000,980.48
257,1781815500000,979.98
258,1781815680000,979.59
259,1781815860000,979.1
260,1781816040000,979.08
261,1781816220000,978.9
262,1781816400000,978.43
263,1781816580000,977.94
264,1781816760000,978.15
265,1781816940000,977.63
266,1781817120000,976.62
267,1781817300000,977.52
268,1781817480000,977.48
269,1781817660000,977.45
270,1781817840000,976.86
271,1781818020000,976.87
272,1781818200000,977.01
273,1781818380000,977.1
274,1781818560000,976.49
275,1781818740000,976.53
276,1781818920000,976.58
277,1781819100000,976.81
278,1781819280000,976.67
279,1781819460000,976.36
280,1781819640000,977.02
281,1781819820000,976.96
282,1781820000000,976.79
283,1781820180000,976.7
284,1781820360000,976.61
285,1781820540000,976.61
286,1781820720000,976.59
287,1781820900000,975.92
288,1781821080000,975.63
289,1781821260000,975.96
290,1781821440000,976.05
291,1781821620000,975.93
292,1781821800000,975.38
293,1781821980000,975.59
294,1781822160000,975.79
295,1781822340000,975.49
296,1781822520000,975.77
297,1781822700000,975.7
298,1781822880000,976.11
299,1781823060000,976.34
300,1781823240000,976.18
301,1781823420000,976.29
302,1781823600000,976.48
303,1781823780000,976.21
304,1781823960000,975.77
305,1781824140000,975.73
306,1781824320000,975.33
307,1781824500000,975.16
308,1781824680000,974.67
309,1781824860000,974.86
310,1781825040000,974.7
311,1781825220000,975.12
312,1781825400000,975.54
313,1781825580000,975.25
314,1781825760000,975.24
315,1781825940000,975.56
316,1781826120000,975.4
317,1781826300000,975.26
318,1781826480000,975.66
319,1781826660000,975.6
320,1781826840000,975.73
321,1781827020000,975.72
322,1781827200000,975.39
323,1781827380000,975.82
324,1781827560000,974.92
325,1781827740000,975.19
326,1781827920000,975.03
327,1781828100000,975.06
328,1781828280000,975.43
329,1781828460000,975.68
330,1781828640000,975.67
331,1781828820000,975.84
332,1781829000000,976.28
333,1781829180000,976.24
334,1781829360000,976.15
335,1781829540000,976.47
336,1781829720000,976.56
337,1781829900000,976.64
338,1781830080000,976.27
339,1781830260000,976.15
340,1781830440000,975.85
341,1781830620000,976.24
342,1781830800000,976.21
343,1781830980000,976.71
344,1781831160000,976.24
345,1781831340000,975.36
346,1781831520000,975.86
347,1781831700000,976.64
348,1781831880000,976.49
349,1781832060000,976.57
350,1781832240000,976.09
351,1781832420000,975.02
352,1781832600000,974.54
353,1781832780000,974.29
354,1781832960000,974.59
355,1781833140000,974.46
356,1781833320000,974.63
357,1781833500000,974.77
358,1781833680000,974.83
359,1781833860000,975.2
360,1781834040000,975.49
361,1781834220000,975.51
362,1781834400000,975.72
363,1781834580000,975.71
364,1781834760000,975.23
365,1781834940000,975.31
366,1781835120000,975.16
367,1781835300000,974.96
368,1781835480000,974.92
369,1781835660000,974.71
370,1781835840000,975.11
371,1781836020000,974.59
372,1781836200000,974.55
