bar,timestamp,side,entry,exit,size,pnl,bars_held,confidence
536,1781865720000,long,62517.9,62382.9,0.0076924434141372715,-1.9993,10,LOW
567,1781871300000,long,62533.3,62470.0,0.0076745633450025505,-1.4451,28,MEDIUM
579,1781873460000,short,62489.0,62752.2,0.007668440833108011,-2.9787,11,HIGH
609,1781878860000,long,62741.3,62986.0,0.0076460348074982466,0.9097,29,MEDIUM
616,1781880120000,long,63324.4,63277.6,0.007582811655070727,-1.3149,2,LOW
625,1781881740000,long,63275.7,63129.9,0.007578257704253836,-2.0628,8,LOW
639,1781884260000,short,63161.5,63200.6,0.007575629757437426,-1.2535,13,HIGH
656,1781887320000,long,63232.7,63212.2,0.007561872357872679,-1.1112,16,LOW
678,1781891280000,short,63172.3,63177.0,0.007560307554971649,-0.9908,21,HIGH
690,1781893440000,long,63165.2,63108.4,0.007553877196526126,-1.3829,11,LOW
693,1781893980000,short,63087.2,63146.5,0.00755225633960374,-1.4012,2,LOW
718,1781898480000,short,63040.4,63091.2,0.0075538536544465145,-1.3365,24,HIGH
728,1781900280000,long,63047.7,62945.9,0.007548466224410921,-1.7195,9,HIGH
730,1781900640000,short,62967.0,63047.6,0.007544486601377291,-1.5588,1,LOW
732,1781901000000,long,63049.9,63020.1,0.007531849739782623,-1.174,1,HIGH
737,1781901900000,short,63020.6,63178.1,0.007526037171954099,-2.1351,3,HIGH
751,1781904420000,long,63163.0,63130.4,0.007510934654346939,-1.1934,13,LOW
769,1781907660000,short,63106.5,63233.1,0.007508203538467705,-1.8991,16,HIGH
787,1781910900000,long,63230.2,63252.2,0.007493530372644922,-0.7829,16,LOW
790,1781911440000,short,63255.9,63299.1,0.007484297166738747,-1.2705,2,MEDIUM
795,1781912340000,long,63287.5,63276.7,0.007475631465207864,-1.0269,4,MEDIUM
823,1781917380000,long,63297.4,63465.2,0.007466350660319163,0.3064,27,LOW
833,1781919180000,short,63414.9,63539.2,0.0074549322650635744,-1.8731,9,HIGH
843,1781920980000,long,63575.0,63463.6,0.0074360030047647295,-1.773,9,MEDIUM
871,1781926020000,short,63455.1,63421.4,0.007436082772777786,-0.6929,27,LOW
885,1781928540000,long,63430.0,63386.4,0.007429612894248939,-1.2661,13,MEDIUM
887,1781928900000,short,63396.3,63440.0,0.007423576485391015,-1.266,1,MEDIUM
889,1781929260000,long,63461.7,63459.9,0.007411063643109359,-0.954,1,HIGH
916,1781934120000,long,63500.0,63606.6,0.007399082135669162,-0.1517,26,LOW
922,1781935200000,short,63588.8,63667.1,0.007387556466014929,-1.5186,5,LOW
929,1781936460000,short,63636.6,63689.8,0.007379165737458206,-1.3321,5,LOW
944,1781939160000,long,63644.7,63587.2,0.007373929374681197,-1.3622,14,MEDIUM
963,1781942580000,long,63712.8,63574.2,0.0073553575244039975,-1.9557,15,LOW
989,1781947260000,short,63533.0,63538.3,0.007360782206220411,-0.9744,25,LOW
1010,1781951040000,long,63509.6,63632.8,0.007356437607836725,-0.029,20,LOW
1025,1781953740000,short,63646.3,63624.3,0.007340409558589497,-0.7727,14,MEDIUM
1049,1781958060000,long,63635.0,63672.6,0.007333103719954844,-0.6578,23,LOW
1096,1781966520000,short,63713.3,63478.0,0.007318929291869867,0.7912,46,HIGH
1122,1781971200000,long,64158.4,63996.4,0.007247478327933418,-2.1029,11,MEDIUM
1159,1781977860000,short,63985.5,63829.1,0.007250629724586203,0.2073,36,LOW
1163,1781978580000,long,63834.8,63844.6,0.007251605720219219,-0.8548,3,HIGH
1185,1781982540000,short,63792.9,63857.8,0.007249668746261446,-1.3959,21,HIGH
1213,1781987580000,long,63864.9,63825.5,0.007237934021177263,-1.2094,27,MEDIUM
1223,1781989380000,short,63843.5,63908.1,0.007230888623332018,-1.3909,9,LOW
1268,1781997480000,long,63898.8,64230.9,0.007221057621280918,1.4729,44,MEDIUM
1274,1781998560000,short,64231.1,64265.7,0.007195164918168459,-1.1735,4,MEDIUM
1285,1782000540000,long,64274.7,64225.5,0.007185028571035352,-1.2768,10,LOW
1298,1782002880000,short,64225.4,64274.2,0.007180604019401773,-1.2731,12,HIGH
1305,1782004140000,long,64257.9,64221.4,0.007172519172796408,-1.1833,4,MEDIUM
1317,1782006300000,short,64214.9,64250.1,0.007168108354251927,-1.1732,11,HIGH
1321,1782007020000,long,64246.8,64213.4,0.007159346369696581,-1.1588,3,HIGH
1326,1782007920000,short,64192.7,64229.9,0.00715635403600391,-1.1853,4,LOW
