timestamp,open,high,low,close,volume
2024-01-01,0.5935,0.6378,0.4667,0.4945,1293043100.0
2024-01-08,0.4946,0.6174,0.4637,0.5251,1523119500.0
2024-01-15,0.5251,0.5484,0.4709,0.5032,548302500.0
2024-01-22,0.5032,0.5064,0.4474,0.4902,636471700.0
2024-01-29,0.4903,0.537,0.4837,0.4935,676351500.0
2024-02-05,0.4934,0.5658,0.4741,0.5414,861565900.0
2024-02-12,0.5414,0.639,0.5307,0.6194,1006339000.0
2024-02-19,0.6194,0.6422,0.568,0.5915,950125700.0
2024-02-26,0.5915,0.765,0.573,0.7285,1740646700.0
2024-03-04,0.7285,0.7997,0.5455,0.7169,1720346900.0
2024-03-11,0.7168,0.8117,0.6286,0.681,1666950200.0
2024-03-18,0.6812,0.6992,0.5568,0.6468,1175347800.0
2024-03-25,0.6468,0.685,0.6304,0.6503,545628100.0
2024-04-01,0.6504,0.6519,0.559,0.5891,548157900.0
2024-04-08,0.5892,0.6241,0.3945,0.4674,1567323620.0
2024-04-15,0.4673,0.5126,0.4224,0.4993,885703900.0
2024-04-22,0.4993,0.5223,0.4437,0.4602,551420040.0
2024-04-29,0.4602,0.476,0.4183,0.4579,648634060.0
2024-05-06,0.4579,0.4757,0.433,0.4377,462807450.0
2024-05-13,0.4377,0.4907,0.4248,0.4672,513038550.0
2024-05-20,0.4672,0.5111,0.4431,0.4582,771447860.0
2024-05-27,0.4583,0.4749,0.4403,0.4464,510682130.0
2024-06-03,0.4465,0.4903,0.4219,0.4442,773796600.0
2024-06-10,0.4442,0.4512,0.3974,0.4167,738661750.0
2024-06-17,0.4167,0.4209,0.3546,0.3801,943503600.0
2024-06-24,0.38,0.4039,0.3607,0.3925,738734970.0
2024-07-01,0.3924,0.4235,0.3162,0.3466,1155276940.0
2024-07-08,0.3467,0.4466,0.3301,0.4316,934564720.0
2024-07-15,0.4318,0.4567,0.4145,0.447,937516930.0
2024-07-22,0.4469,0.4504,0.3814,0.4072,693235620.0
2024-07-29,0.4071,0.4272,0.3335,0.3441,835838640.0
2024-08-05,0.3442,0.3566,0.2749,0.3276,1392204590.0
2024-08-12,0.3276,0.3457,0.3203,0.3342,535268460.0
2024-08-19,0.3342,0.4013,0.3276,0.3848,681918330.0
2024-08-26,0.3848,0.3879,0.3264,0.331,676399910.0
2024-09-02,0.3309,0.341,0.3032,0.339,857797600.0
2024-09-09,0.339,0.365,0.3298,0.3385,690853400.0
2024-09-16,0.3384,0.3612,0.3262,0.3516,569476150.0
2024-09-23,0.3517,0.4159,0.3454,0.3975,746392400.0
2024-09-30,0.3975,0.3978,0.3316,0.3575,830694680.0
2024-10-07,0.3575,0.3685,0.3312,0.3486,549767940.0
2024-10-14,0.3485,0.3711,0.3392,0.365,614852580.0
2024-10-21,0.365,0.3731,0.313,0.3398,794509930.0
2024-10-28,0.3399,0.3641,0.3273,0.3339,704781040.0
2024-11-04,0.334,0.6599,0.3201,0.5902,2524304150.0
2024-11-11,0.5902,0.8188,0.5188,0.7026,4103276710.0
2024-11-18,0.7026,1.1555,0.7001,1.0227,3729723310.0
2024-11-25,1.0228,1.1645,0.8744,1.1505,1957634030.0
2024-12-02,1.1506,1.3276,1.0568,1.1939,2436700180.0
2024-12-09,1.194,1.194,0.8903,1.0998,2023375240.0
2024-12-16,1.1,1.1215,0.7617,0.8835,2066313610.0
2024-12-23,0.8835,0.9506,0.8507,0.8589,785995070.0
2024-12-30,0.8589,1.1197,0.8295,1.091,1283426640.0
2025-01-06,1.0911,1.1525,0.8796,0.9677,1487727810.0
2025-01-13,0.9676,1.1667,0.8754,0.9924,1860018370.0
2025-01-20,0.9924,1.1022,0.9512,0.953,1202357220.0
2025-01-27,0.9528,0.9887,0.7505,0.8045,1006014160.0
2025-02-03,0.8045,0.8248,0.503,0.6813,2209605590.0
2025-02-10,0.6813,0.8312,0.6631,0.7713,1413452960.0
2025-02-17,0.7714,0.8292,0.7328,0.7695,1130540550.0
2025-02-24,0.7695,1.1487,0.5801,1.1348,3526069060.0
2025-03-03,1.1348,1.177,0.7087,0.7212,7307174280.0
2025-03-10,0.7213,0.7785,0.6466,0.7047,2559058150.0
2025-03-17,0.7046,0.7553,0.6814,0.7106,1167777230.0
2025-03-24,0.7107,0.7746,0.651,0.6612,1233142640.0
2025-03-31,0.6612,0.7102,0.5596,0.5736,1531148730.0
2025-04-07,0.5735,0.6688,0.511,0.6382,2538720130.0
2025-04-14,0.6383,0.6577,0.5945,0.6202,898218790.0
2025-04-21,0.6203,0.746,0.6151,0.7028,1389500340.0
2025-04-28,0.7028,0.7296,0.6638,0.6757,1293974090.0
2025-05-05,0.6756,0.8467,0.642,0.805,1534380550.0
2025-05-12,0.8051,0.8639,0.7164,0.7592,1554066190.0
2025-05-19,0.7593,0.8414,0.7095,0.7594,1140408290.0
2025-05-26,0.7595,0.7767,0.6536,0.685,1011833910.0
2025-06-02,0.6851,0.7069,0.6182,0.6699,966336320.0
2025-06-09,0.6698,0.7312,0.6127,0.633,1108101160.0
2025-06-16,0.633,0.6573,0.5096,0.5414,1352219970.0
2025-06-23,0.5414,0.5933,0.5283,0.5771,1143885540.0
2025-06-30,0.5771,0.611,0.536,0.5854,1237191890.0
2025-07-07,0.5854,0.7778,0.5715,0.7366,2389343200.0
2025-07-14,0.7366,0.8962,0.7104,0.8585,2554103300.0
2025-07-21,0.8585,0.935,0.7615,0.8322,2655618540.0
2025-07-28,0.8322,0.8562,0.6838,0.7265,1779058520.0
