timestamp,open,high,low,close,volume
2024-01-01,101.74,116.97,80.53,89.41,69350534.0
2024-01-08,89.42,107.25,85.1,93.83,73051066.0
2024-01-15,93.82,103.63,87.03,91.11,45244858.0
2024-01-22,91.12,99.45,78.94,95.99,62118726.0
2024-01-29,95.99,106.6,93.12,95.48,60994111.0
2024-02-05,95.49,110.87,93.15,107.52,47758423.0
2024-02-12,107.52,118.79,103.45,112.26,52415666.0
2024-02-19,112.26,114.89,98.43,103.53,46028196.0
2024-02-26,103.52,137.89,100.28,130.23,79842003.0
2024-03-04,130.24,152.8,101.8,144.47,77368455.0
2024-03-11,144.47,205.38,136.0,201.82,96073680.0
2024-03-18,201.82,210.25,162.48,183.93,83208474.0
2024-03-25,183.94,203.35,180.12,202.66,34771933.0
2024-04-01,202.66,204.7,167.66,179.62,40366341.0
2024-04-08,179.61,184.74,111.25,151.25,75413321.1
2024-04-15,151.25,156.06,126.3,148.82,76166810.8
2024-04-22,148.83,160.0,132.34,137.99,45502072.7
2024-04-29,138.0,149.16,118.42,145.73,55729079.7
2024-05-06,145.73,160.0,139.92,143.41,45096972.8
2024-05-13,143.43,175.96,137.78,169.94,49937402.1
2024-05-20,169.95,189.02,161.0,163.43,50564327.1
2024-05-27,163.42,173.92,161.41,163.2,36340003.8
2024-06-03,163.2,175.62,151.58,162.11,32497933.61
2024-06-10,162.11,163.16,139.32,151.26,36643882.91
2024-06-17,151.26,151.75,126.96,128.7,41503575.04
2024-06-24,128.68,151.18,121.5,146.67,46371262.45
2024-07-01,146.67,154.98,120.59,131.65,60124754.97
2024-07-08,131.65,148.55,127.75,147.63,43327407.33
2024-07-15,147.61,185.25,146.97,184.53,43676163.22
2024-07-22,184.52,188.36,165.4,184.87,51970779.07
2024-07-29,184.87,193.95,131.16,138.34,73156053.43
2024-08-05,138.35,163.73,109.58,141.52,117510730.3
2024-08-12,141.53,152.17,136.12,142.4,55026766.24
2024-08-19,142.4,162.38,138.76,158.93,42529020.06
2024-08-26,158.92,161.99,127.57,128.45,50382091.35
2024-09-02,128.45,137.51,120.54,130.15,55466052.06
2024-09-09,130.14,139.82,126.92,131.36,39938016.61
2024-09-16,131.36,152.55,127.1,144.67,46643749.2
2024-09-23,144.68,161.77,142.13,158.47,43727844.11
2024-09-30,158.47,159.82,132.94,146.47,45952815.56
2024-10-07,146.46,152.33,135.51,147.73,32777360.41
2024-10-14,147.74,167.99,146.77,167.48,37257929.91
2024-10-21,167.47,179.36,158.93,176.6,54997362.26
2024-10-28,176.59,183.55,157.73,162.5,43256760.38
2024-11-04,162.5,215.54,155.09,210.1,63492569.79
2024-11-11,210.1,242.21,200.72,237.46,72035142.42
2024-11-18,237.46,264.54,229.5,252.79,52199452.69
2024-11-25,252.8,256.9,221.64,236.95,34430765.2
2024-12-02,236.96,247.17,215.01,237.13,48584556.44
2024-12-09,237.13,237.42,200.8,224.28,42578869.6
2024-12-16,224.29,229.13,175.13,180.51,61343484.63
2024-12-23,180.5,201.85,176.4,189.94,30760581.95
2024-12-30,189.94,219.83,185.86,213.42,28413795.92
2025-01-06,213.42,223.2,182.0,188.53,37737235.56
2025-01-13,188.52,295.82,168.01,252.95,88182032.23
2025-01-20,252.93,273.19,229.7,240.51,67622410.69
2025-01-27,240.5,244.75,191.68,203.48,58281986.51
2025-02-03,203.49,220.0,175.08,200.41,58700204.59
2025-02-10,200.42,209.12,186.06,188.22,36300489.4
2025-02-17,188.22,189.72,160.89,167.91,54856239.96
